settlement,teaor,bin,count
Csókakõ,41,1-4,5
Csókakõ,66,1-4,6
Csõvár,66,1-4,7
Csömör,41,1-4,20
Csömör,66,1-4,36
Csömör,90,1-4,24
Dabas,16,1-4,6
Dabas,41,1-4,59
Dabas,66,1-4,42
Dabas,80,1-4,5
Dabas,90,1-4,18
Dabas,41,5-9,8
Dad,41,1-4,5
Debrecen,11,1-4,13
Debrecen,16,1-4,26
Debrecen,41,1-4,265
Debrecen,55,1-4,62
Debrecen,66,1-4,671
Debrecen,78,1-4,7
Debrecen,80,1-4,264
Debrecen,90,1-4,323
Debrecen,41,10-19,25
Debrecen,41,20-49,13
Debrecen,55,20-49,6
Debrecen,23,250-1000,11
Debrecen,16,5-9,5
Debrecen,41,5-9,48
Debrecen,55,5-9,7
Debrecen,66,5-9,5
Debrecen,80,5-9,8
Debrecen,41,50-249,5
Decs,66,1-4,6
Demjén,55,1-4,8
Derecske,41,1-4,16
Derecske,66,1-4,10
Derecske,80,1-4,8
Derecske,90,1-4,9
Deszk,41,1-4,8
Deszk,66,1-4,15
Deszk,90,1-4,7
Devecser,23,1-4,8
Devecser,66,1-4,5
Devecser,90,1-4,7
Devecser,23,20-49,25
Diósd,41,1-4,34
Diósd,66,1-4,26
Diósd,90,1-4,36
Diósjenõ,41,1-4,6
Diósjenõ,66,1-4,5
Diósjenõ,90,1-4,6
Doboz,41,1-4,6
Doboz,66,1-4,5
Domaszék,41,1-4,13
Domaszék,66,1-4,9
Domaszék,90,1-4,6
Dombrád,41,1-4,7
Dombrád,66,1-4,6
Dombóvár,41,1-4,11
Dombóvár,55,1-4,8
Dombóvár,66,1-4,57
Dombóvár,80,1-4,9
Dombóvár,90,1-4,21
Domony,41,1-4,7
Domony,66,1-4,5
Domoszló,66,1-4,7
Dorog,41,1-4,19
Dorog,66,1-4,30
Dorog,90,1-4,9
Dorogháza,41,1-4,6
Drávaiványi,16,1-4,8
Drávaszerdahely,16,1-4,6
Dudar,41,1-4,5
Dunaalmás,66,1-4,6
Dunabogdány,16,1-4,7
Dunabogdány,41,1-4,6
Dunabogdány,66,1-4,8
Dunabogdány,90,1-4,13
Dunaföldvár,41,1-4,13
Dunaföldvár,55,1-4,5
Dunaföldvár,66,1-4,18
Dunaföldvár,90,1-4,10
Dunaharaszti,16,1-4,8
Dunaharaszti,41,1-4,63
Dunaharaszti,66,1-4,43
Dunaharaszti,80,1-4,8
Dunaharaszti,90,1-4,44
Dunaharaszti,41,5-9,9
Dunakeszi,16,1-4,10
Dunakeszi,23,1-4,6
